country,streams_millions,danceability,energy,valence,total_registros,total_artistas,sub_region
United States,32721.79,0.665,0.617,0.472,14401,917,🌎 América do Norte
Brazil,22017.13,0.682,0.706,0.658,14890,731,🗺️ América do Sul
Mexico,18894.42,0.706,0.633,0.633,15076,530,🌎 América do Norte
Argentina,7987.74,0.718,0.674,0.633,15197,652,🗺️ América do Sul
Chile,6787.38,0.745,0.69,0.622,15195,700,🗺️ América do Sul
Canada,5783.4,0.667,0.621,0.493,15199,950,🌎 América do Norte
Peru,3022.47,0.727,0.69,0.625,15198,591,🗺️ América do Sul
Colombia,2973.38,0.73,0.678,0.636,15198,571,🗺️ América do Sul
Ecuador,1249.97,0.73,0.677,0.613,15198,577,🗺️ América do Sul
Guatemala,1137.97,0.716,0.647,0.63,15198,534,🌏 América Central
Paraguay,1050.67,0.725,0.679,0.649,15198,573,🗺️ América do Sul
Costa Rica,781.98,0.719,0.651,0.61,15198,574,🌏 América Central
Bolivia,593.94,0.722,0.666,0.619,15198,594,🗺️ América do Sul
Uruguay,540.19,0.726,0.678,0.648,15198,705,🗺️ América do Sul
Dominican Republic,476.87,0.741,0.685,0.595,15198,667,🏝️ Caribe
Panama,421.22,0.719,0.673,0.596,15198,669,🌏 América Central
Venezuela,106.45,0.724,0.689,0.587,3400,256,🗺️ América do Sul
