country,⚡ Alta Energia,🎵 Neutro/Equilibrado,🎵 Reggaeton/Urbano,💃 Dançante,💕 Balada Romântica,🔥 Ritmo Latino (Dançante/Energético),😊 Alegre/Positiva,😢 Melancólica/Triste
Argentina,13.6,11.44,6.24,12.35,0.43,26.72,21.9,7.31
Bolivia,11.19,12.21,6.09,12.36,0.69,31.1,18.28,8.07
Brazil,17.8,14.0,6.76,8.72,3.33,15.99,28.03,5.37
Canada,14.88,18.57,4.11,13.33,1.28,15.4,10.33,22.11
Chile,11.62,9.92,7.48,11.42,0.15,37.7,14.56,7.14
Colombia,10.98,11.24,6.43,10.26,0.29,34.06,19.15,7.59
Costa Rica,10.21,13.41,7.19,11.05,0.8,29.92,17.67,9.74
Dominican Republic,10.01,11.01,5.01,12.25,0.45,37.38,13.64,10.24
Ecuador,12.19,11.46,6.34,10.55,0.19,34.0,16.19,9.08
Guatemala,10.26,14.76,6.03,9.34,1.05,28.03,22.54,7.98
Mexico,10.31,16.71,6.28,8.76,1.32,24.66,23.36,8.6
Panama,10.93,14.0,5.58,12.78,0.67,30.37,16.02,9.65
Paraguay,9.57,10.34,5.7,12.02,1.05,29.77,25.52,6.03
Peru,13.21,10.4,5.87,10.34,0.2,33.74,18.54,7.69
United States,15.72,18.02,4.49,14.27,1.21,13.36,8.43,24.5
Uruguay,11.56,9.71,6.13,12.11,0.85,30.26,23.13,6.25
Venezuela,12.18,12.88,5.44,10.0,0.5,33.26,15.71,10.03
