rank,artist_names,track_name,release_date,streams,week,danceability,energy,valence,country,region,language,streams_millions,year,month,day_of_week,week_number,success_score,music_profile,season,rank_group
1,Raí Saia Rodada,Tapão Na Raba,2021-01-22,5862696,2021-03-04,0.8079999999999999,0.7959999999999999,0.799,Brazil,South America,Portuguese,5.86,2021,3,3,9,385.1414883475588,🔥 Música para Balada,🌸 Primavera,🏆 Top 10
5,Hugo & Guilherme,Coração Na Cama - Ao Vivo,2020-11-13,4529027,2021-03-04,0.764,0.794,0.721,Brazil,South America,Portuguese,4.53,2021,3,3,9,335.19681184471176,🔥 Música para Balada,🌸 Primavera,🏆 Top 10
7,Zé Neto & Cristiano,Alô Ambev (Segue Sua Vida) - Ao Vivo,2020-03-26,4032096,2021-03-04,0.695,0.872,0.6459999999999999,Brazil,South America,Portuguese,4.03,2021,3,3,9,313.3914769176597,⚡ Energética,🌸 Primavera,🏆 Top 10
8,Tarcísio do Acordeon,Meia Noite (Você tem meu Whatsapp),2020-12-17,3822960,2021-03-04,0.7090000000000001,0.816,0.921,Brazil,South America,Portuguese,3.82,2021,3,3,9,303.5453681160642,🔥 Música para Balada,🌸 Primavera,🏆 Top 10
9,Israel & Rodolffo,Batom de Cereja - Ao Vivo,2021-01-29,3741572,2021-03-04,0.606,0.908,0.7979999999999999,Brazil,South America,Portuguese,3.74,2021,3,3,9,298.75913005574114,⚡ Energética,🌸 Primavera,🏆 Top 10
11,Jorge & Mateus,Lance Individual,2020-11-13,3574684,2021-03-04,0.752,0.62,0.962,Brazil,South America,Portuguese,3.57,2021,3,3,9,288.70750893216155,💃 Dançante,🌸 Primavera,📊 Top 11-50
12,Os Barões Da Pisadinha,Recairei - Ao Vivo,2020-10-15,3413578,2021-03-04,0.5820000000000001,0.937,0.939,Brazil,South America,Portuguese,3.41,2021,3,3,9,280.4523163077046,⚡ Energética,🌸 Primavera,📊 Top 11-50
14,Marília Mendonça,Troca de Calçada,2021-01-29,3156256,2021-03-04,0.659,0.6890000000000001,0.701,Brazil,South America,Portuguese,3.16,2021,3,3,9,266.57131888908316,😊 Feliz/Positiva,🌸 Primavera,📊 Top 11-50
17,Simone & Simaria,Foi Pá Pum,2020-11-20,3014425,2021-03-04,0.627,0.818,0.449,Brazil,South America,Portuguese,3.01,2021,3,3,9,255.5375884025999,⚡ Energética,🌸 Primavera,📊 Top 11-50
18,Guilherme & Benuto,Pulei na Piscina - Ao Vivo,2020-08-21,2814372,2021-03-04,0.652,0.773,0.527,Brazil,South America,Portuguese,2.81,2021,3,3,9,244.78614161236555,⚡ Energética,🌸 Primavera,📊 Top 11-50
