track_name,artist_names,streams_millions,rank,paises_alcancados
DÁKITI,"Bad Bunny, Jhay Cortez",622.02,1,16
Yonaguni,Bad Bunny,606.8,1,16
Blinding Lights,The Weeknd,524.41,3,17
Todo De Ti,Rauw Alejandro,490.74,1,16
Pepas,Farruko,464.98,1,16
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",440.16,1,17
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",417.2,1,17
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",397.53,4,17
good 4 u,Olivia Rodrigo,389.18,1,17
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",388.86,1,16
Woman,Doja Cat,378.89,7,17
Watermelon Sugar,Harry Styles,368.87,34,17
Qué Más Pues?,"J Balvin, Maria Becerra",368.18,1,16
MONTERO (Call Me By Your Name),Lil Nas X,365.18,1,16
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",363.67,1,17
drivers license,Olivia Rodrigo,362.25,1,17
Pareja Del Año,"Sebastian Yatra, Myke Towers",347.02,1,14
Volví,"Aventura, Bad Bunny",343.34,1,16
Kiss Me More (feat. SZA),"Doja Cat, SZA",342.51,1,17
LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",341.33,1,15
telepatía,Kali Uchis,329.77,1,16
Beggin',Måneskin,325.42,3,16
Fiel,"Los Legendarios, Wisin, Jhay Cortez",322.34,1,15
Save Your Tears,The Weeknd,314.19,2,17
Bandido,"Myke Towers, Juhn",308.65,1,14
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",301.11,1,16
Sweater Weather,The Neighbourhood,299.58,19,13
Need to Know,Doja Cat,299.48,6,17
Heat Waves,Glass Animals,298.35,1,15
Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",297.74,7,16
AM Remix,"Nio Garcia, J Balvin, Bad Bunny",297.05,2,15
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",296.93,4,17
Desesperados,"Rauw Alejandro, Chencho Corleone",294.64,1,15
Miénteme,"TINI, Maria Becerra",289.81,1,14
traitor,Olivia Rodrigo,284.68,3,17
Volando - Remix,"Mora, Bad Bunny, Sech",284.09,1,15
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",282.33,6,16
Bad Habits,Ed Sheeran,277.31,2,17
Don't Start Now,Dua Lipa,269.85,44,17
Sobrio,Maluma,267.75,1,14
MAMIII,"Becky G, KAROL G",260.35,1,16
deja vu,Olivia Rodrigo,257.99,2,17
BICHOTA,KAROL G,252.69,2,15
2/Catorce,"Rauw Alejandro, Mr. Naisgai",249.38,1,15
Hawái,Maluma,247.1,6,14
Wants and Needs (feat. Lil Baby),"Drake, Lil Baby",239.99,2,5
Botella Tras Botella,"Gera MX, Christian Nodal",239.96,1,14
EL MAKINON,"KAROL G, Mariah Angeliq",238.21,4,15
Easy On Me,Adele,237.33,1,17
No Role Modelz,J. Cole,232.34,10,2
LA CANCIÓN,"J Balvin, Bad Bunny",229.97,7,15
