artist_names,streams_millions,musicas_distintas,paises_alcancados
Bad Bunny,3414.84,48,16
Olivia Rodrigo,1907.92,11,17
The Weeknd,1289.05,24,17
Doja Cat,1185.85,12,17
Harry Styles,1083.54,18,17
Rauw Alejandro,928.36,17,16
Morgan Wallen,825.27,20,2
Juice WRLD,759.95,25,2
"Bad Bunny, Jhay Cortez",755.44,2,16
Henrique & Juliano,708.11,20,2
KAROL G,694.62,10,16
Gusttavo Lima,664.83,20,2
Lil Nas X,618.03,10,17
Maluma,586.07,9,14
Jorge & Mateus,571.54,16,1
Farruko,557.04,2,16
Ed Sheeran,542.91,18,17
Billie Eilish,529.8,21,17
Kanye West,517.86,31,6
Christian Nodal,517.38,20,9
J. Cole,510.6,11,4
Polo G,504.42,15,4
The Neighbourhood,490.83,3,13
"Marília Mendonça, Maiara & Maraisa",490.24,15,2
Zé Neto & Cristiano,485.26,12,2
João Gomes,458.31,14,2
Adele,442.81,23,17
"The Kid LAROI, Justin Bieber",440.16,1,17
Taylor Swift,439.36,60,17
BTS,429.5,20,17
Dua Lipa,420.09,7,17
"Elton John, Dua Lipa, PNAU",417.2,1,17
Måneskin,409.24,4,16
"Dua Lipa, DaBaby",397.53,1,17
"Tainy, Bad Bunny, Julieta Venegas",388.86,1,16
Calibre 50,387.12,5,5
"Bruno Mars, Anderson .Paak, Silk Sonic",385.24,8,16
Justin Bieber,376.94,9,17
"J Balvin, Maria Becerra",368.18,1,16
"Lil Nas X, Jack Harlow",363.67,1,17
"Sebastian Yatra, Myke Towers",347.02,1,14
"Aventura, Bad Bunny",343.34,1,16
"Doja Cat, SZA",342.51,1,17
"Bad Bunny, ROSALÍA",341.33,1,15
Sech,336.87,10,14
Kali Uchis,329.77,1,16
Matheus & Kauan,324.66,8,1
"The Weeknd, Ariana Grande",322.87,2,17
"Los Legendarios, Wisin, Jhay Cortez",322.34,1,15
Drake,318.69,25,6
